Filtering:

Day 1: rain [0.11111111], sunny [0.88888889]
Day 42: rain [0.85784163], sunny [0.14215837]
Day 43: rain [0.18385611], sunny [0.81614389]
Day 44: rain [0.7285005], sunny [0.2714995]
Day 45: rain [0.8669013], sunny [0.1330987]
Day 46: rain [0.18624267], sunny [0.81375733]
Day 47: rain [0.7293062], sunny [0.2706938]
Day 48: rain [0.86705513], sunny [0.13294487]
Day 49: rain [0.8917919], sunny [0.1082081]
Day 50: rain [0.19298269], sunny [0.80701731]
Day 51: rain [0.07037646], sunny [0.92962354]
Day 52: rain [0.05754054], sunny [0.94245946]
Day 53: rain [0.68225029], sunny [0.31774971]
Day 54: rain [0.85787737], sunny [0.14212263]
Day 55: rain [0.89023502], sunny [0.10976498]
Day 56: rain [0.89567], sunny [0.10433]
Day 57: rain [0.89656828], sunny [0.10343172]
Day 58: rain [0.19430776], sunny [0.80569224]
Day 59: rain [0.73201179], sunny [0.26798821]
Day 60: rain [0.86757087], sunny [0.13242913]
Day 61: rain [0.18642044], sunny [0.81357956]
Day 62: rain [0.72936612], sunny [0.27063388]
Day 63: rain [0.15339061], sunny [0.84660939]
Day 64: rain [0.06605536], sunny [0.93394464]
Day 65: rain [0.05711629], sunny [0.94288371]
Day 66: rain [0.05624431], sunny [0.94375569]
Day 67: rain [0.68173585], sunny [0.31826415]
Day 68: rain [0.85777481], sunny [0.14222519]
Day 69: rain [0.18383863], sunny [0.81616137]
Day 70: rain [0.06936267], sunny [0.93063733]
Day 71: rain [0.6869021], sunny [0.3130979]
Day 72: rain [0.85880254], sunny [0.14119746]
Day 73: rain [0.89039252], sunny [0.10960748]
Day 74: rain [0.19259644], sunny [0.80740356]
Day 75: rain [0.7314399], sunny [0.2685601]
Day 76: rain [0.86746196], sunny [0.13253804]
Day 77: rain [0.89186063], sunny [0.10813937]
Day 78: rain [0.19300169], sunny [0.80699831]
Day 79: rain [0.73157543], sunny [0.26842457]
Day 80: rain [0.86748777], sunny [0.13251223]
Day 81: rain [0.18639837], sunny [0.81360163]
Day 82: rain [0.06964549], sunny [0.93035451]
Day 83: rain [0.6870125], sunny [0.3129875]
Day 84: rain [0.85882445], sunny [0.14117555]
Day 85: rain [0.89039625], sunny [0.10960375]
Day 86: rain [0.19259747], sunny [0.80740253]
Day 87: rain [0.07033355], sunny [0.92966645]
Day 88: rain [0.68728094], sunny [0.31271906]
Day 89: rain [0.14460973], sunny [0.85539027]
Day 90: rain [0.06512063], sunny [0.93487937]
Day 91: rain [0.6852412], sunny [0.3147588]
Day 92: rain [0.85847267], sunny [0.14152733]
Day 93: rain [0.18402122], sunny [0.81597878]
Day 94: rain [0.72855631], sunny [0.27144369]
Day 95: rain [0.86691196], sunny [0.13308804]
Day 96: rain [0.1862455], sunny [0.8137545]
Day 97: rain [0.06962858], sunny [0.93037142]
Day 98: rain [0.6870059], sunny [0.3129941]
Day 99: rain [0.14455406], sunny [0.85544594]
Day 100: rain [0.06511473], sunny [0.93488527]

Prediction:

Day 101: rain [0.32604589], sunny [0.67395411]
Day 102: rain [0.43041836], sunny [0.56958164]
Day 103: rain [0.47216734], sunny [0.52783266]
Day 104: rain [0.48886694], sunny [0.51113306]
Day 105: rain [0.49554677], sunny [0.50445323]
Day 106: rain [0.49821871], sunny [0.50178129]
Day 107: rain [0.49928748], sunny [0.50071252]
Day 108: rain [0.49971499], sunny [0.50028501]
Day 109: rain [0.499886], sunny [0.500114]
Day 110: rain [0.4999544], sunny [0.5000456]
Day 111: rain [0.49998176], sunny [0.50001824]
Day 112: rain [0.4999927], sunny [0.5000073]
Day 113: rain [0.49999708], sunny [0.50000292]
Day 114: rain [0.49999883], sunny [0.50000117]
Day 115: rain [0.49999953], sunny [0.50000047]
Day 116: rain [0.49999981], sunny [0.50000019]
Day 117: rain [0.49999993], sunny [0.50000007]
Day 118: rain [0.49999997], sunny [0.50000003]
Day 119: rain [0.49999999], sunny [0.50000001]
Day 120: rain [0.5], sunny [0.5]
Day 121: rain [0.5], sunny [0.5]
Day 122: rain [0.5], sunny [0.5]
Day 123: rain [0.5], sunny [0.5]
Day 124: rain [0.5], sunny [0.5]
Day 125: rain [0.5], sunny [0.5]
Day 126: rain [0.5], sunny [0.5]
Day 127: rain [0.5], sunny [0.5]
Day 128: rain [0.5], sunny [0.5]
Day 129: rain [0.5], sunny [0.5]
Day 130: rain [0.5], sunny [0.5]
Day 131: rain [0.5], sunny [0.5]
Day 132: rain [0.5], sunny [0.5]
Day 133: rain [0.5], sunny [0.5]
Day 134: rain [0.5], sunny [0.5]
Day 135: rain [0.5], sunny [0.5]
Day 136: rain [0.5], sunny [0.5]
Day 137: rain [0.5], sunny [0.5]
Day 138: rain [0.5], sunny [0.5]
Day 139: rain [0.5], sunny [0.5]
Day 140: rain [0.5], sunny [0.5]
Day 141: rain [0.5], sunny [0.5]
Day 142: rain [0.5], sunny [0.5]
Day 143: rain [0.5], sunny [0.5]
Day 144: rain [0.5], sunny [0.5]
Day 145: rain [0.5], sunny [0.5]
Day 146: rain [0.5], sunny [0.5]
Day 147: rain [0.5], sunny [0.5]
Day 148: rain [0.5], sunny [0.5]
Day 149: rain [0.5], sunny [0.5]
Day 150: rain [0.5], sunny [0.5]

Bayesian Network:

P(b=1|c=1,d=1)=0.9514348785871964
P(b=2|c=1,d=1)=0.037527593818984545
P(b=3|c=1,d=1)=0.011037527593818985
P(b=1|c=1,d=2)=0.16666666666666666
P(b=2|c=1,d=2)=0.3888888888888889
P(b=3|c=1,d=2)=0.4444444444444444
P(b=1|c=2,d=1)=0.3333333333333333
P(b=2|c=2,d=1)=0.4074074074074074
P(b=3|c=2,d=1)=0.25925925925925924
P(b=1|c=2,d=2)=0.17857142857142858
P(b=2|c=2,d=2)=0.2857142857142857
P(b=3|c=2,d=2)=0.5357142857142857
P(b=1|c=3,d=1)=0.16901408450704225
P(b=2|c=3,d=1)=0.36619718309859156
P(b=3|c=3,d=1)=0.4647887323943662
P(b=1|c=3,d=2)=0.01694915254237288
P(b=2|c=3,d=2)=0.22033898305084745
P(b=3|c=3,d=2)=0.7627118644067796

P(a=1|b=1,e=1)=0.927038626609442
P(a=2|b=1,e=1)=0.07296137339055794
P(a=1|b=1,e=2)=0.25
P(a=2|b=1,e=2)=0.75
P(a=1|b=2,e=1)=0.1346153846153846
P(a=2|b=2,e=1)=0.8653846153846154
P(a=1|b=2,e=2)=0.024390243902439025
P(a=2|b=2,e=2)=0.975609756097561
P(a=1|b=3,e=1)=0.0
P(a=2|b=3,e=1)=1.0
P(a=1|b=3,e=2)=0.02830188679245283
P(a=2|b=3,e=2)=0.9716981132075472
